BPOS,V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
99,0,0,0,0,1,0,1,0,9,0,266,102,265,93,265,18,1,0,0,0,0,0,0,0,290,31,290,45,289,48944,63.66611546,53.11859667,53.76151295,54.04599614,64.40777878
100,0,0,0,0,1,0,1,0,6,0,265,92,265,99,265,22,1,0,0,0,0,0,1,0,290,29,290,46,288,49520,63.58624653,53.33715322,53.39576893,53.5820903,64.09874102
101,0,0,0,0,1,0,1,0,4,0,266,82,265,104,265,28,1,0,0,0,0,0,1,0,290,26,290,47,287,50094,63.23395059,53.43283794,53.31463619,53.33943356,63.67914172
102,0,0,0,0,1,0,1,0,3,0,266,73,265,107,265,33,1,0,0,0,0,0,0,0,290,24,290,48,285,50664,62.37028552,53.31788142,53.27899988,53.16024853,62.87258465
103,0,0,0,0,1,0,1,0,2,0,265,64,265,109,265,39,1,0,0,0,0,0,0,0,290,23,290,49,284,51232,61.55728299,53.29535072,53.64568356,53.41679965,62.08488308
104,0,0,0,0,1,0,1,0,2,0,265,56,265,110,265,46,1,0,0,0,0,0,0,0,290,22,290,50,284,51800,60.78291501,53.47938612,54.26120384,54.01553677,61.46095827
105,0,0,0,0,1,0,1,0,1,0,265,47,265,110,265,54,1,0,0,0,0,0,1,0,290,21,290,50,282,52364,55.4920942,53.72158292,55.11892405,54.89994486,62.76745397
106,0,0,0,0,1,0,1,0,1,0,265,40,265,109,265,61,1,0,0,0,0,0,1,0,290,20,290,51,281,52926,51.92326306,53.96257962,56.03367655,55.94001515,63.14046563
107,0,0,0,0,1,0,1,0,1,0,181,0,263,121,264,71,1,0,0,0,0,0,0,0,170,1,290,55,248,53422,47.0489928,47.41004818,49.51597162,49.51505383,54.50993356
108,0,0,0,0,1,0,1,0,1,0,98,0,265,123,265,78,1,0,0,0,0,0,0,0,22,0,290,54,255,53932,49.68228007,48.5750879,50.78926597,50.8004207,55.15294536
109,0,0,0,0,1,0,1,0,1,0,55,0,265,118,265,86,1,0,0,0,0,0,0,0,11,0,290,55,259,54450,51.64963982,49.21457332,51.35182599,51.34790965,55.43605122
110,0,0,0,0,1,0,1,0,1,0,34,0,265,113,265,92,1,0,0,0,0,0,0,0,7,0,290,55,260,54970,52.89779156,49.23311352,51.37001042,51.28120121,55.21788328
111,0,0,0,0,1,0,1,0,1,0,20,0,265,106,265,100,1,0,0,0,0,0,1,0,5,0,290,55,261,55492,53.67767764,49.16980952,51.17699307,51.06051723,55.91500254
112,0,0,0,0,1,0,1,0,1,0,13,0,265,100,265,106,158,1,0,0,0,0,0,0,4,0,290,55,262,56016,54.54707698,49.21230993,51.18408316,51.0536653,56.00286464
113,0,0,0,0,1,0,1,0,1,0,9,0,265,92,265,103,265,16,0,0,0,0,0,0,4,0,290,50,261,56538,54.84250118,48.87758026,50.73303559,50.69951119,55.84737178
114,0,0,0,0,1,0,1,0,1,0,6,0,265,84,265,108,265,19,0,0,0,0,0,0,3,0,290,50,261,57060,55.17312966,48.74778043,50.5840874,50.5370212,55.95798131
115,0,0,0,0,1,0,1,0,1,0,5,0,266,76,265,112,265,22,0,0,0,0,0,0,3,0,290,49,259,57578,54.97187208,48.25598981,50.10193423,50.06882686,55.60137702
116,0,0,0,0,1,0,1,0,1,0,4,0,265,68,265,115,265,25,0,0,0,0,1,0,3,0,290,49,257,58092,54.72981643,47.7357396,49.66010174,49.66749937,55.20684287
117,0,0,0,0,1,0,1,0,1,0,3,0,265,60,265,117,265,30,0,0,0,0,1,0,3,0,290,48,255,58602,54.51405622,47.26842247,49.17786355,49.26520481,54.77445295
